"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Luxembourg (LU)","347.27"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Netherlands (NL)","1167.41"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Norway (NO)","1398.85"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Poland (PL)","1854.10"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Sweden (SE)","Germany (DE)","206.92"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Switzerland (CH)","3888.36"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Austria (AT)","2573.39"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Belgium (BE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Belgium (BE)","Germany (DE)","141.59"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Czech Republic (CZ)","1746.64"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Czech Republic (CZ)","Germany (DE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Denmark (DK)","242.40"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Denmark (DK)","Germany (DE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","France (FR)","1592.63"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Luxembourg (LU)","317.65"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Netherlands (NL)","1195.49"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Norway (NO)","1399.06"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Poland (PL)","1755.82"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Sweden (SE)","Germany (DE)","182.21"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Switzerland (CH)","3756.71"
